session_id,competency_domain
S006,Systems-Based Practice
S016,Interpersonal and Communication Skills
S001,Knowledge for Practice
S009,professionalism
S006,Practice-Based Learning and Improvement
S010,IPC
S008,Knowledge for Practice
S019,interprofessional collaboration
S003,INTERPERSONAL AND COMMUNICATION SKILLS
S012,Systems-Based Practice
S005,Knowledge for Practice
S015,Knowledge for Practice
S004,KP
S013,KP
S016,Patient Care
S002,KP
S004,Patient Care
S009,Interpersonal and Communication Skills
S019,Systems-Based Practice
S011,Patient Care
S007,PC
S002,PATIENT CARE
S020,Patient Care
S017,Patient Care
