session_id,session_title,block,delivery_date,modality
S001,Acid-Base & Electrolyte Disorders,Foundations: Renal,2024-08-19,Large group
S002,ECG Interpretation Workshop,Foundations: CV,2024-08-28,Small group
S003,Doctor-Patient Communication I,Foundations: Doctoring,2024-09-06,Small group
S004,Diabetes & DKA Management,Foundations: Endo,2024-09-15,Large group
S005,Heart Failure: Pathophys to Management,Foundations: CV,2024-09-24,Large group
S006,Quality Improvement Fundamentals,Foundations: Systems,2024-10-03,Large group
S007,Clinical Reasoning: Diagnostic Schema,Foundations: Doctoring,2024-10-12,Small group
S008,Antimicrobial Stewardship,Foundations: ID,2024-10-21,Large group
S009,Breaking Bad News (Standardized Patient),Foundations: Doctoring,2024-10-30,Simulation
S010,Interprofessional Rounds Simulation,Foundations: Systems,2024-11-08,Simulation
S011,Pulmonary Embolism Workup,Foundations: Pulm,2024-11-17,Large group
S012,Health Systems Science Seminar,Foundations: Systems,2024-11-26,Large group
S013,Acute Kidney Injury,Foundations: Renal,2024-12-05,Large group
S014,Professional Identity Formation,Foundations: Doctoring,2024-12-14,Reflection
S015,Nutrition in Chronic Disease,Foundations: GI/Nutrition,2024-12-23,Large group
S016,Shared Decision-Making OSCE Prep,Foundations: Doctoring,2025-01-01,Small group
S017,Sepsis Recognition & Bundles,Foundations: ID,2025-01-10,Large group
S018,Evidence Appraisal & Journal Club,Foundations: PBLI,2025-01-19,Small group
S019,Transitions of Care & Handoffs,Foundations: Systems,2025-01-28,Simulation
S020,Pre-Clerkship Capstone OSCE,Foundations: Assessment,2025-02-06,Simulation
S005,Heart Failure (Cardiology) - Updated,Foundations: CV,2024-11-25,Large group
s021,Renal Replacement Therapy Basics,Foundations: Renal,2025-02-10,Large group
